corpus,user/qirim/corpus_28_06_crimean_tatar
subcorpus,-
Item,Frequency
ve,44386
bir,41552
bu,31788
o,23336
de,22574
da,20894
edi,20223
men,14071
onıñ,13892
dep,13377
soñ,13128
kibi,12574
ne,11932
içün,11827
dedi,10119
daa,8254
öz,8006
onı,7769
er,7743
lâkin,7611
çoq,7365
ise,7257
yoq,7211
şu,6888
bar,6858
sen,6628
eki,6398
olğan,6341
pek,6248
alıp,5956
kerek,5814
oña,5764
senesi,5565
degil,5475
eken,5356
olar,5284
böyle,5136
bütün,5132
menim,5074
endi,5036
olıp,4980
oldı,4936
dey,4907
qadar,4594
biz,4472
olsa,4459
büyük,4377
yahşı,4376
bile,4272
şey,4254
ile,4237
nasıl,4125
ya,4085
aqqında,3980
kene,3937
maña,3906
amma,3896
ki,3891
şimdi,3876
vaqıt,3876
ediler,3872
etti,3836
biri,3709
kün,3662
adam,3649
etip,3550
meni,3528
eñ,3462
kelip,3428
mında,3410
öyle,3407
olarnıñ,3392
ana,3382
ete,3323
qırımtatar,3320
içinde,3246
ola,3183
özü,3155
bizim,3097
anda,3094
başqa,3089
degen,3062
yañı,3041
qırım,3014
kelgen,2992
edim,2979
em,2923
yerde,2915
keldi,2877
yaş,2806
i,2769
halq,2746
saña,2721
soñra,2699
siz,2650
etken,2632
barıp,2563
biraz,2525
üç,2507
tek,2481
olarnı,2396
s.,2385
doğru,2357
başladı,2343
qız,2331
ağa,2315
bir qaç,2313
mına,2291
yerge,2288
kete,2283
seniñ,2277
iş,2255
turğan,2219
yıl,2205
iç,2197
birinci,2196
çünki,2185
beraber,2178
bunı,2170
kele,2145
olaraq,2131
on,2125
arasında,2109
mümkün,2106
bugün,2105
kim,2099
seni,2089
ketti,2081
qart,2076
özüniñ,2063
köre,2056
üstüne,2050
eger,2042
bala,2027
üstünde,2004
yol,1987
olğanını,1973
qalğan,1967
devam,1963
baqıp,1960
belli,1956
yer,1948
işte,1947
kere,1940
ebet,1938
çıqtı,1938
başını,1921
milliy,1920
qaldı,1914
aldı,1894
alda,1890
suv,1875
tez,1872
künü,1868
olsun,1867
qadın,1838
köz,1825
baqtı,1825
keçken,1801
qara,1800
al,1791
söz,1786
baş,1763
ziyade,1757
beş,1748
tura,1746
çeşit,1735
asan,1733
yalıñız,1733
insan,1732
adamlar,1730
oğlu,1724
ağır,1716
ekinci,1715
ep,1702
ondan,1679
şay,1669
olur,1665
qayda,1665
birden,1660
vaqıtta,1603
sağ,1595
belki,1585
bizge,1574
soñki,1574
evel,1572
ya da,1571
çıqqan,1571
etmek,1564
demek,1554
bere,1554
diger,1552
bundan,1547
qarşı,1540
yardım,1530
özüni,1529
çıqıp,1521
qaytıp,1519
yanında,1518
yaqın,1516
olarğa,1515
gece,1510
yanına,1508
şair,1506
iç bir,1502
laf,1493
ey,1466
soradı,1456
ketken,1449
yavaş,1440
güzel,1439
yerine,1437
episi,1434
alğan,1433
buña,1430
cevap,1421
özüne,1415
bekir,1404
oca,1385
ol,1377
han,1375
evge,1374
can,1368
dört,1358
ay,1356
sizge,1351
yüksek,1349
berdi,1335
ali,1317
ahmet,1315
körip,1311
altın,1310
rus,1293
ev,1287
közleri,1287
yani,1286
dünya,1270
az,1270
yüz,1268
şeyler,1260
açıq,1259
ala,1258
ömür,1253
ğayet,1253
ne içün,1252
başına,1246
kimse,1245
olğanı,1240
tarafından,1239
türlü,1227
ögünde,1219
atta,1216
köy,1213
balalar,1209
alla,1194
em de,1176
dülber,1173
közlerini,1171
qırımda,1170
artından,1167
işke,1163
adlı,1161
başı,1159
a.,1154
edebiy,1154
aqşam,1153
yaşağan,1151
emir,1131
selim,1127
bergen,1125
körgen,1122
aynı,1118
bayağı,1112
saba,1111
eski,1110
evine,1109
cenk,1109
sıra,1104
çıqa,1100
tatar,1100
yigit,1098
biñ,1097
aman,1096
başlay,1092
baba,1088
uzun,1076
edik,1073
vefat,1066
sovet,1066
arada,1066
niyar,1062
tanış,1062
efendi,1060
şöyle,1051
berli,1051
teren,1051
ismail,1049
başında,1049
er kes,1048
amet,1047
tutıp,1038
yazğan,1031
olacaq,1031
içine,1031
ğayıp,1026
saat,1015
bunıñ,1002
etmege,996
yerinden,993
olmaq,990
keçti,982
kirdi,982
babası,978
at,969
bazı,965
etilgen,962
padişa,960
dedim,959
anası,958
boyu,957
bizni,952
evde,945
yoqsa,945
şevket,942
çıqarıp,939
başta,935
aq,930
qızı,929
olmağan,927
zaman,925
devlet,925
tolu,924
yaşay,923
sıq,921
oğlan,915
aqay,913
ümer,909
köterip,906
üsein,900
kirip,900
şeyni,897
turdı,892
ayta,892
tili,890
beyaz,889
berip,886
babam,886
yapqan,884
qala,882
yazılğan,877
haber,877
mustafa,868
aytıp,866
ahay,865
yolğa,861
acayip,861
edebiyat,859
ayşe,857
baq,856
bağlı,854
ah,845
küçük,844
keçip,843
ayaq,843
terciman,840
ayttı,839
ögüne,838
anam,830
siziñ,830
ilk,820
halqnıñ,820
vatan,819
artıq,818
taş,817
a,817
qırımğa,812
ettiler,812
ayrı,811
razı,808
yıllar,808
turıp,806
baqa,805
mecbur,804
baqmadan,802
başlağan,800
bediiy,800
özüm,800
osman,796
çoqtan,795
e,791
niayet,788
dersiñ,788
tamam,786
boyunca,786
deyler,785
aydı,782
olmaz,782
neşir,779
orta,778
yedi,776
bilmey,773
sizni,770
boş,768
oturğan,768
server,767
esas,766
ğayrı,763
hızmet,762
kel,761
yusuf,761
soray,761
apte,759
köyünde,757
laqırdı,756
uzaq,748
balaban,746
aşağı,744
birer,742
lenin,740
tekrar,736
alim,735
dünyada,734
kettiler,733
fikir,728
seneleri,726
ayat,724
asıl,724
ekisi,724
küneş,723
birisi,722
ğaliba,719
birine,716
yolçı,716
kelgende,715
onda,714
balam,713
tüşti,713
temiz,712
eserleri,710
alime,710
açıp,709
eserler,709
yaşlar,708
içeri,706
nasıldır,706
bizler,705
kitap,704
qan,704
yüregi,704
gasprinskiy,703
tüşken,703
bay,702
adı,702
yarın,700
yatqan,700
olmasa,700
oğlum,699
yazıp,698
sesi,698
sevgi,698
kişi,697
qırımnıñ,697
eteler,695
canım,694
daima,694
areket,693
siyasiy,693
isteyim,689
ateş,688
tilinde,687
qızıl,686
ses,684
keniş,682
türk,682
yerden,682
otura,681
müim,680
ciddiy,679
devamında,678
bilgen,678
topraq,675
ekenler,674
alâ,674
qızlar,674
doğğan,671
ayt,670
eşref,668
istey,668
deñiz,666
aşıq,665
ulu,665
köyde,663
ama,659
çalışa,658
kök,658
adım,658
tüşündi,657
başladılar,657
şiirler,657
tarafqa,656
selâm,655
hanım,655
yavaştan,654
şunıñ,654
halqımıznıñ,653
olamay,652
qoydı,649
qırq,649
devirde,649
ta,647
almaq,646
et,645
şairniñ,644
sanki,644
para,643
enver,643
arbiy,639
qaydan,638
meselâ,635
til,634
yaza,632
yeşil,631
bilmeyim,631
elbet,628
yapa,626
sözler,624
altı,623
oquv,622
şeer,621
keçe,621
qar,619
qıznıñ,618
duşman,617
işi,616
qaranlıq,616
sıcaq,615
yazıcı,615
yıldız,614
künden,614
aytqan,613
bara,611
bular,610
körüne,609
edebiyatı,608
tapıp,608
aş,607
kendi,607
adamlarnıñ,607
yolda,607
taraftan,603
sürette,603
etem,603
bilem,601
hususan,601
hoş,600
qattı,598
tübünde,598
adamnıñ,597
adına,596
vaqtında,596
ilmiy,595
qaç,595
cenkten,591
menden,591
içinden,591
ekenini,590
olardan,588
oturdı,587
musulman,587
çapıp,586
gülnar,585
millet,585
birinde,585
artına,584
özüñ,580
sesnen,579
qarar,579
tuvğan,579
aydın,577
tatlı,573
keldim,572
küç,572
şamil,572
cevair,569
kelir,569
zornen,568
ibraim,568
qısqa,568
yürek,567
mektep,567
memet,566
yigirmi,566
nice,566
dağ,566
ait,565
oturıp,565
aks,564
taşlap,563
kire,563
niçün,562
çalışqan,562
etildi,562
ikâye,561
soñu,560
aç,559
yarı,559
kimerde,558
aqiqiy,558
nefes,557
gizli,555
ayrıca,555
yaqqa,554
saibi,554
kerim,553
cemaat,553
olmadı,553
olamadı,552
adını,552
erte,550
abdulla,549
yüre,549
sultan,548
astında,546
andan,546
keç,546
bekley,545
vay,544
işni,544
kördi,543
keri,542
suvuq,539
şiir,538
almağa,538
sarı,538
episini,538
şiirleri,538
elini,538
yata,537
bulunğan,536
mesele,535
zengin,535
is,533
tüşünip,533
deb,533
aradan,532
közden,531
qızım,529
qulaq,528
qıymetli,528
emin,527
ediñ,526
azır,526
talap,525
barmı,525
şunı,525
aylanıp,523
insanlar,521
el,519
ketirip,519
köstere,519
rica,518
ava,518
mahsus,518
köyge,518
kündüz,517
soñundan,516
toy,515
bağçasaray,515
sayın,514
yıldan,514
ilki,514
keteler,514
yuqarı,513
usta,513
eser,513
derc,512
zamanda,512
kirgen,512
sebep,511
oqup,511
eline,509
küçlü,509
istedi,509
icadiy,509
çalıştı,508
olmay,508
iç bir şey,506
qapı,506
an,505
tercime,505
gül,505
altında,502
yerinde,501
bey,500
ibaret,498
senesiniñ,498
peyda oldı,497
yüzü,496
meydanğa,495
çoban,494
añlap,493
doğdı,492
yürgen,492
aqmescit,492
aziz,492
asırnıñ,492
tüşüne,491
cafer,491
teklif,491
işler,490
onıñnen,490
ögge,490
asker,489
başlap,489
yarım,488
bilmek,488
içtimaiy,487
vatanğa,486
oldım,486
hususında,486
oldılar,486
ayriye,485
hannıñ,485
bitirgen,484
yerli,484
şeerinde,484
taşladı,482
sözüni,482
eter,482
keldiler,481
küreş,480
tütün,479
üçünci,479
evinde,478
çoban-zade,478
baqsa,475
bilir,474
üzerinde,474
azbarğa,473
qayta,472
körmek,470
oqumağa,470
qadınlar,470
bizde,470
rusiye,469
nıñ,469
oquğan,469
yaptı,469
baar,468
evelsi,468
sadıq,468
acı,467
açtı,467
üstünden,466
olğanda,466
tarihiy,465
ettim,465
sözlerni,465
yaşında,464
deral,464
ket,464
yalan,464
otuz,463
çekip,463
bilâl,463
adamnı,462
terek,461
dünyağa,460
bayrağı,460
faqat,458
çıqardı,458
adiy,457
ümüt,457
qave,456
eşitken,456
evniñ,456
qoyıp,456
molla,456
şeñ,454
yapmaq,453
ekim,453
çare,453
ber,453
sözleri,452
medeniy,452
taşkent,452
derecede,451
qana,451
n.,451
dane,451
devir,450
asiye,450
elbette,450
özbek,449
tüşe,449
yunus,448
kösterdi,448
qoy,447
keskin,446
barğan,446
gazeta,446
no,445
quş,444
evelki,443
degende,442
kelecek,442
arasından,442
der,442
serbest,440
davet,439
sürgün,439
halqınıñ,439
sanat,439
küldi,438
muracaat,438
derece,437
halqı,437
meşur,435
ötmek,435
maşina,434
vaqıtlarda,434
aqiqaten,434
işleri,433
yaz,433
ağanıñ,433
taraf,433
işten,433
diqqat,432
yel,431
musafir,431
külümsiredi,431
tap,430
ketmek,430
nege,430
tañ,430
şeylerni,430
birini,429
anavı,429
mektüp,429
ileri,428
ketip,428
boylu,428
aqta,426
islâm,426
soñunda,426
tüşip,425
balaları,425
toqtadı,425
kör,424
icra,422
qardaşım,421
aldılar,421
sekiz,420
keñ,420
mavı,418
umumen,418
kiçkene,418
dost,417
soy,417
keçirdi,416
kolhoz,416
tesir,413
müellif,413
demir,413
ölüm,412
kösterip,412
qalmadı,412
aka,411
istegen,411
diqqatnen,410
bardı,410
meraqlı,410
başından,409
aqmescitte,409
qadını,409
keter,408
aci,407
taba,407
közlerine,406
yapılğan,406
yuqarıda,405
bugünki,405
qomşu,405
geray,404
ince,404
küle,404
yürekten,404
közü,404
rustem,403
apansızdan,402
berilgen,402
mayıs,402
ğarip,402
seve,401
çay,401
yeri,401
degilmi,401
sevgen,401
dua,400
medeniyet,400
mamut,400
arqadaş,400
qıyın,400
yapıp,400
adamğa,399
özleri,399
ağlay,399
qol,399
aqıl,398
ürmet,398
köyniñ,398
neler,397
kümüş,397
eyi,396
lâyıq,396
sol,396
evden,395
azat,395
halqqa,394
qolunı,394
araba,394
ketirdi,394
köterdi,393
has,393
davuşnen,392
suvğa,392
oluñız,392
çelebicihan,391
padişanıñ,391
tezden,391
yaşap,390
elli,390
m.,390
adamlarnı,390
etile,389
ayaqqa,388
yağmur,388
abibulla,388
nedir,387
senesinden,387
deyü,386
yazdı,386
mal,385
icat,384
inkişaf,384
sebepten,383
kördim,383
birlikte,382
birazdan,382
alınğan,382
qapını,382
halqımız,381
ketirgen,381
çıqar,381
oquy,380
öldi,380
peşinden,380
seit,380
şeerge,380
tuta,380
hasta,380
kereden,379
türkiy,377
yanındaki,377
tilki,377
işini,377
künler,377
seyir,376
acele,376
keder,375
köylü,375
eserlerini,375
quvet,375
sefer,374
boris,373
qolay,373
yeter,372
bermek,372
kerçekten,372
basıp,372
ekende,372
qıçırdı,371
yoluna,371
çıqtılar,371
iri,371
pamuq,371
olunğan,370
sevimli,370
yarıq,369
sözlerini,369
afta,369
olundı,368
partizan,368
tırışa,368
tutqan,367
aceba,367
elinde,367
qoluna,367
reisi,367
angi,367
ketmege,366
istidatlı,366
zeynep,365
olsañ,363
çaresi,363
insannıñ,363
köküs,363
dostum,363
senden,362
babasınıñ,362
v.,362
toplap,361
aytmaq,361
urıp,361
odağa,361
te,361
qırımdan,361
üstündeki,360
ister,359
güya,358
halqnı,358
kimge,358
yerlerde,358
olğanına,357
qırmızı,357
ceetten,356
teslim,355
umumiy,355
anasınıñ,355
birge,355
mektepte,354
meseleni,354
keleler,353
gür,353
qırımtatarlarnıñ,353
çevirildi,353
ata,353
salladı,352
aqıllı,352
qaldılar,352
añladı,351
faal,350
evi,349
qıznı,349
esasen,348
añlağan,347
ı,347
malümat,347
terk,346
yaqında,346
serlevalı,346
sarıp,346
ilim,346
azbar,345
yüzüni,345
raat,345
malik,345
ketire,345
qış,345
yengil,344
kerekmey,344
köpek,344
yıllıq,343
olalar,343
kimdir,343
köründi,343
daqqa,343
baqqan,343
şimdiki,343
neticesinde,342
uzattı,342
kitabı,342
tırıştı,342
ağız,341
nazik,341
künde,341
kerekmiz,341
yıllarda,340
aldım,340
qaçıp,340
seydamet,340
muqaddes,340
ağam,339
balanıñ,339
var,339
oqudı,339
yaşamaq,338
deli,338
qırımtatarlar,338
yazıq,338
noman,338
bizlerni,337
özümni,337
ölgen,337
qaviy,337
üyken,336
sırada,336
etiñiz,336
sene,335
tübüne,335
yanından,333
şeyge,333
üküm,333
etecek,333
ressam,333
cemil,333
kelse,332
yolu,332
yanaşa,332
şiiriy,332
basılğan,331
kemal,331
ilân,331
kimsege,331
eda,331
zore,331
balanı,330
tasil,330
allanıñ,330
qartnıñ,330
ukraina,330
deyim,330
eşitildi,330
teatr,329
oğlunıñ,329
yerni,329
yır,329
sert,329
dediler,329
ancaq,328
zaten,328
adamlarğa,328
accı,328
üstü,328
aldında,328
bermege,328
ayaqları,328
artında,327
köstergen,326
balası,326
mıtlaqa,326
elinden,325
tar,325
yazıcıları,325
yoldan,325
ebediy,324
yetip,324
özleriniñ,324
şükür,323
edebiyatınıñ,323
taşkentte,323
ağaç,323
veli,323
yenge,323
şahsiy,323
turalar,323
rayon,322
emek,322
top,322
ketecek,322
yat,322
bağışlanğan,321
taze,321
özbekistanda,321
basıldı,321
defa,321
quvanç,320
közge,320
diye,320
aytmağa,320
alma,320
toqta,320
bol,320
qadınnıñ,319
berdim,319
pedagogika,319
yolunı,318
sürgünlik,318
qartlar,318
ipçi,317
bahtlı,317
yaman,316
keçirgen,316
gazetasında,316
mırza,315
azaçıq,315
olsam,315
murat,315
parça,315
birliginiñ,315
yüregini,314
evlerine,314
çıqara,314
masa,314
deşetli,313
qaysı,312
nemse,312
qarşılap,311
hucur,311
sözü,311
başlandı,311
çırayı,310
divar,310
nazar,309
emine,309
degilim,309
çetke,309
fena,309
açıldı,308
çoqqa,308
doquz,308
ertesi,307
çöl,307
berdiler,307
oktâbr,306
evelden,306
qıdırıp,306
tertip,306
ocanıñ,305
tilini,305
oğrunda,305
yerleşken,304
yüregim,304
tünevin,303
buçuq,302
tınç,302
uçıp,302
qat,301
canı,301
tam,300
azbarda,300
asır,300
sebebinden,299
barsın,299
mende,299
yuqlap,299
qaşqır,299
müdiri,299
yu,298
olamayım,298
arap,298
yapmağa,298
beklep,298
musa,297
elde,296
közüne,296
işçi,296
şekilde,296
eşitip,296
qardaş,295
ğayrıdan,295
bastı,294
ne vaqıt,294
ücüm,294
aysa,294
hayır,294
bağ,293
yoqtır,293
keregi,292
etüv,292
aliye,292
olmağa,292
şakir,291
yana,291
anay,290
buluna,290
fuqare,290
gasprinskiyniñ,290
s,290
barmaq,290
meselesi,289
soñuna,289
yoqmı,289
yahut,289
leylâ,289
eterek,289
qısmet,289
ayuv,289
qızğa,289
elindeki,289
bereler,289
tışqa,288
ösken,288
vaqtı,287
tabiiy,287
emce,287
bütünley,287
merkeziy,287
asılında,287
atılıp,287
arasındaki,286
yılları,286
partiya,286
qabul,286
dostlar,286
nisbeten,286
imkân,286
qorqa,285
yar,285
üzerine,285
ukrain,284
tayin,284
baqqanda,284
askerler,284
aytam,284
kelgenini,284
ketkende,284
ders,283
tüşüncege,283
ufaq,283
minip,283
aksine,283
bitirdi,283
köçip,282
yüzüne,282
tarih,282
evelâ,282
qapu,282
emiyet,282
qaldım,282
ayatı,282
kelmey,282
nikolay,281
bayram,281
işine,281
esasında,281
bilgi,281
ifade,280
isa,280
yollar,280
selâmet,280
riza,280
sabır,280
temet,279
qalın,279
eserlerinde,279
ocalar,278
lümin,278
çoqusı,278
doğmuş,278
bağırdı,278
anasına,278
añlay,278
urdı,278
qalıp,278
afu,278
etrafında,277
qanlı,277
pencere,277
maqpule,277
qızını,277
bardır,277
meşğul,277
istemey,276
qarşısında,276
bularnı,275
yazmağa,275
keçer,275
bersin,275
baht,275
şeerde,275
bazıları,274
dağlar,274
raatlıq,274
azası,274
keldik,273
dağğa,273
yımşaq,273
biriniñ,273
baynıñ,273
külümsirep,273
indemey,273
tuttı,273
ille,273
yazıcılar,273
kâğıt,272
andrey,272
attı,272
muhammed,272
qaytqan,272
taşlay,272
añlamaq,271
çalışıp,271
şübesiz,271
ellerini,271
tair,271
künleri,271
vastasınen,271
bermey,271
olsalar,270
ahır,270
çora,270
köterildi,270
arasına,270
köyden,270
qurban,270
kelin,270
olarnen,269
hem,269
professor,269
bilmegen,269
yüzünde,269
qorqu,269
haberi,268
köse,268
sovetler,268
doğrusını,268
diniy,267
çağıra,267
kenarğa,266
fikirler,266
edebiyatımıznıñ,266
qatıp,266
ha,266
bilesiñ,266
cesür,266
bitken,265
cümleden,265
tiline,265
sebebi,265
gazetası,265
bitti,265
ocalıq,264
artta,264
qolunda,264
taz,264
aqqındaki,264
degildir,264
qayttı,264
cian,263
mektepke,263
zarar,263
samimiy,263
fayda,263
qardaşı,263
qaya,263
olmaycaq,262
içindeki,262
bilip,262
tur,262
yıllarında,262
ileride,262
başladım,261
balalarnı,261
çar,261
ekensiñ,260
terekler,260
taqdim,260
ilyas,260
ekenim,260
tilde,260
mıtlaq,260
aşap,260
sesini,259
bileler,259
ş.,259
körünmey,259
olğanından,259
sayesinde,259
qoyğan,259
dünyanıñ,259
suleyman,259
yüzüm,258
stol,258
işbu,258
baqıñız,258
selime,258
sizler,258
ura,258
canlı,257
kimniñ,257
kiyik,257
çekti,257
uzaqtan,257
mından,257
sağlam,257
alçaq,257
qarısı,257
artqa,257
qalem,256
şaşıp,256
rayonı,256
sizniñ,256
qadimiy,256
berile,256
b.,256
dev,256
añladım,256
ayağı,255
qazan,255
olmağanını,255
alman,255
bermedi,255
allağa,255
aprel,255
oğlunı,255
olam,254
yan,254
baqayım,254
açlıq,253
deseñ,253
çelebi,253
göñül,253
olsaq,252
qartiy,252
beyan,252
tarihı,252
alır,252
balalarnıñ,252
çıqarğan,252
yırlay,252
böyleliknen,251
balalarğa,251
bağçasarayda,251
közlerinen,251
halqlar,251
qoranta,251
qoya,251
oluna,251
musafirler,251
ayaqlarını,251
bularnıñ,250
kerçek,250
içip,250
oğluna,249
idare,249
eserniñ,249
işniñ,249
tosat,249
sade,249
başlaylar,249
allah,249
epimiz,249
atıp,249
zavallı,248
saqlap,248
tapmaq,248
basılıp,248
salqın,248
hatırlap,248
çeçek,248
sıfatında,247
yañıdan,247
çapa,247
sustı,247
vaqia,247
digerleri,247
olarda,247
sual,246
nı,246
nuzet,246
şimdilik,246
özen,246
eli,246
misal,246
yekâne,245
telefon,244
baqmaq,244
yerini,244
isteseñ,244
sofra,244
edimi,243
qapığa,243
reis,243
saniye,243
künlerde,243
ortalıq,243
bunıñnen,243
batır,243
berir,243
ben,243
tübünden,242
eşitile,242
yaqub,242
oyun,242
bildirdi,242
deñizge,242
din,242
saçları,242
özüme,242
qırımnı,242
aqiqat,242
olmasın,242
şemi-zade,242
elge,241
közüm,241
moskvada,241
ekimiz,241
özüñiz,241
mart,241
küz,241
ayında,241
qazanğan,240
alalar,240
etmey,240
kesip,240
yanıp,240
sssr,240
doğrusı,240
leytenant,239
şamata,239
qızçıq,239
künlerden,239
quyu,239
toqtap,238
odasına,238
tüş,238
bunda,238
babamnıñ,238
bizden,238
mezkür,238
sevem,237
qaldırıp,237
u,237
şaqa,237
alâdin,237
toqtaldı,237
etmekte,237
şeyden,236
aytqanda,236
vaqıttan,236
çağırdı,236
aytacaq,236
ortasında,236
yolunda,236
vaqialar,236
yeñi,236
kökke,236
efendiniñ,235
hayırlı,235
dostu,235
toplanğan,235
esir,235
ettik,235
cenki,235
erkek,235
ivan,235
hatice,234
rapuntsel,234
külip,234
aldına,234
ii,234
berildi,234
olurmı,233
orman,233
yanvar,233
amdi,233
qalır,233
söyledi,233
bahşış,232
ayder,232
zakir,232
yetti,232
sorap,232
komitetiniñ,232
esap,232
kimler,231
körmege,231
yürip,231
tıpqı,231
şarq,231
halil,231
çağırıp,231
yılı,231
bulutlar,231
mulâyim,231
avada,230
sayde,230
içi,230
qurulğan,229
mevcut,229
gazetasınıñ,229
şairi,229
biñlernen,229
ağlap,229
ortağa,229
vaziyet,229
tesiri,229
hatırlay,229
işlerini,229
ekincisi,228
alacaq,228
oda,228
etse,228
arslanov,227
bitirip,227
doktor,227
yañlış,227
sesleri,227
saqlanıp,227
quvana,227
beriñiz,227
bugünde,226
cınğız,226
tasvir,226
abduraman,226
fikret,226
emiş,225
içki,225
adet,225
künlerniñ,225
çıqtım,225
özüñni,225
alıb,225
arıq,225
aliy,224
taptı,224
insanlarnıñ,223
tış,223
sallap,223
böylece,223
çalışmağa,223
maarif,223
ruhset,223
marum,222
ömüri,222
facialı,222
saf,222
yüregine,222
bilesiñmi,222
babañ,221
özlerini,221
pencereden,221
betke,221
çevirilip,221
tapa,221
bilemiz,221
faaliyeti,221
ediñiz,221
aça,221
zayıf,220
çıqmaq,220
oq,220
teşekkür,220
qulağına,220
alına,220
astından,220
edip,220
astına,220
beñzey,220
arslan,219
degenler,219
odanıñ,219
çabik,219
fevral,219
kerekli,219
qollarını,219
muzıka,219
iskender,218
niñ,218
memnün,218
mürekkep,218
qoqusı,218
emiyeti,218
köstermek,218
vaqıtqace,218
saray,218
balıq,218
maqsadınen,218
dermenci,217
işnen,217
qaraman,217
yaq,217
kirer,217
kiyev,217
körünip,217
körgeninen,217
devirniñ,217
aile,216
partizanlar,216
genç,216
kirdiler,216
keçirip,216
körüngen,216
elinen,216
atlı,216
terenden,216
stalin,215
nail,215
yazıcınıñ,215
ayttım,215
özara,215
razılıq,215
resim,214
e.,214
zan,214
etkenler,214
barmağa,214
şorbacı,214
olamadım,213
tabiat,213
yalta,213
aydap,213
kelgenler,213
arzı,212
direktor,212
şeyh,212
rusça,212
çal,212
qocaman,212
aylandı,211
yüreginde,211
lâzim,211
siyrek,211
bardım,211
qapıdan,211
toz,211
keldiñ,210
yañğız,210
satırlar,210
bazar,210
katerina,210
xx,210
etemiz,210
tarafında,210
lirik,210
yigitler,210
atnıñ,210
bazıda,210
açqan,209
arqadaşlar,209
kiygen,209
olsın,209
vaqıtında,209
daldı,209
babasına,209
körmegen,209
ğayret,209
cuma,209
ant,208
namlı,208
şeerniñ,208
ketem,208
şiirinde,208
atnı,208
sayısı,208
cıyıntığı,208
degeni,208
çıqmağa,208
bilmem,207
çıqarmaq,207
malüm,207
zade,207
şarap,207
uzaqta,207
ceetinden,207
bilecek,207
asırlar,207
faşistler,207
taşlar,207
esma,207
adamları,206
oynay,206
çıqalar,206
anasını,206
tartıp,206
yük,206
öylemi,206
indemedi,205
açuvnen,205
çeke,205
evler,205
digeri,205
ruhiy,205
öksüz,205
qoyulğan,205
aleyküm,205
yaşayış,205
oqumaq,205
institutınıñ,204
tasavur,204
insanğa,204
apayı,204
bağça,204
kettim,204
olmalı,204
canını,204
bazı bir,204
bulundı,203
eseri,203
faşist,203
berecek,203
qadınğa,203
şerfe,203
neçün,203
susıp,203
qaytarıp,203
arzu,203
yaşı,203
tapqan,203
künge,202
parlaq,202
çıqqanda,202
nesil,202
keçire,202
neticede,202
egilip,201
dese,201
sabıq,201
boynuna,201
ustalıqnen,201
olamaz,201
qurşun,201
tınçlıq,201
çıq,201
evni,201
general,200
sözge,200
çıqarılğan,200
baqtım,200
şundan,200
neft,200
körgende,200
mümkünmi,200
meryem,200
moskva,200
çekken,200
reşid,200
mahramkul,200
bildire,200
peyda olğan,200
c.,200
kelmedi,199
sentâbr,199
köterilgen,199
aqlı,199
üzre,199
kaştanov,198
şairler,198
çetinde,198
gecesi,198
müellifniñ,198
kelsin,198
qırımlı,198
olğanlar,198
hatırladı,198
kommunist,197
siya,197
aliniñ,197
baştan,197
devri,197
çıplaq,197
körümli,197
yaramay,197
tarafına,197
mektepni,197
âya,197
neden,197
aqça,196
vaziyette,196
hadimi,196
özünden,196
taqdiri,196
ziya,196
azaları,196
ömürge,196
vilyam,196
baqmağa,196
ketkenini,196
ikâyeler,196
altmış,196
barmay,196
añlata,196
kökte,195
qasevet,195
niyarnıñ,195
turğanda,195
taqdir,195
tavşan,195
aydur,195
közlerinde,195
ocası,195
zar,195
añlattı,195
qul,195
rudenko,195
özbekistan,195
yatıp,195
sebebini,194
ketirilgen,194
qalmay,194
bağıra,194
köylüler,194
tüşüngen,194
talil,194
quvetli,194
yazmaq,194
kitaplar,193
balağa,193
milletniñ,193
sıqıp,193
aslı,193
qızınıñ,193
istemeyim,193
etrafqa,193
zarur,193
zor,193
ösip,192
arqadaşı,192
icadı,192
sabri,192
noyabr,192
cenkte,192
quru,192
tik,192
şiirlerini,192
yaratqan,192
tatarlar,192
avası,192
tekmil,192
yerniñ,191
şeerine,191
bilmez,191
şeytan,191
nafile,191
yazı,191
üriye,190
bolat,190
adil,190
ketirmek,190
ağası,190
er kesniñ,190
ipçiniñ,190
kereksiñ,190
şunda,190
yete,190
vezir,190
qaytmaq,190
quçaqlap,190
peyda ola,189
aqılına,189
qaldırğan,189
saçlarını,189
yattı,189
cennet,189
yuqu,189
ne içündir,189
muqayt,189
